ConsolAcctID2,SALES,ConsolAcctName,LocAcctAddr2,ConsolAcctCity,ConsolAcctState,ConsolAcctPostalCode,ConsolAcctFilingFreq,ConsolAcctID,SiteCode,LocationAccountType,LocAcctName,Address,LocAcctCity,LocAcctState,LocAcctPostalCode,LocationLiquor,JurisdictionCode,CityLimit,LocationOpen,LocationClose,NaicsCode,Textbox64,Textbox67,Latitude,Longitude,geometry,index_right,Representative,Description,Revenue
MOID: 20921641,SALES,GREETINGS FROM EARTH,704 LYON ST,COLUMBIA,MO,65201-4408,ANNUAL,MOID: 20921641,7,SALES LOCATION,ELIZABETH V MITCHELL ,1600 W BROADWAY,COLUMBIA,MO,65203-1104,No,15670-019-000-0000,Yes,1/1/2023,,"541921 - PHOTOGRAPHY STUDIOS, PORTRAIT","20,222","30,500",38.9527447,-92.3631307,POINT (-92.3631307 38.9527447),1,Nick Foster,Nick Foster    <br>       <br>   FID   1    <br>   Id   4    <br>   Ward   Fourth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Nick Foster    <br>   Shape_STAr   301690029.959    <br>   Shape_STLe   197133.937509,69.09121717
MOID: 20921641,SALES,GREETINGS FROM EARTH,704 LYON ST,COLUMBIA,MO,65201-4408,ANNUAL,MOID: 20921641,8,SALES LOCATION,ELIZABETH V MITCHELL ,101 N 10TH ST,COLUMBIA,MO,65201-4948,No,15670-019-007-0000,Yes,1/1/2023,3/31/2032,"541921 - PHOTOGRAPHY STUDIOS, PORTRAIT","20,222","30,500",38.9528997,-92.3268619,POINT (-92.3268619 38.9528997),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,75.72036145
MOID: 17747333,SALES,SWEET DREAMS QUILT STUDIO,2515 BASSWOOD CT,COLUMBIA,MO,65203-0696,ANNUAL,MOID: 17747333,2,SALES LOCATION,SWEET DREAMS QUILT STUDIO,2515 BASSWOOD CT,COLUMBIA,MO,65203-0696,No,15670-019-000-0000,Yes,7/1/2003,,541490 - OTHER SPECIALIZED DESIGN SERVICES,"20,222","30,500",38.9270076,-92.3889648,POINT (-92.3889648 38.9270076),1,Nick Foster,Nick Foster    <br>       <br>   FID   1    <br>   Id   4    <br>   Ward   Fourth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Nick Foster    <br>   Shape_STAr   301690029.959    <br>   Shape_STLe   197133.937509,67.14756865
MOID: 22570497,SALES,BETTERLIFEKING,4700 CEDAR COALS CT,COLUMBIA,MO,65203-9072,ANNUAL,MOID: 22570497,2,SALES LOCATION,BETTERLIFEKING,4700 CEDAR COALS CT,COLUMBIA,MO,65203-9072,No,15670-019-000-0000,Yes,4/21/2015,,454110 - ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES,"20,222","30,500",38.9355609,-92.4058892,POINT (-92.4058892 38.9355609),1,Nick Foster,Nick Foster    <br>       <br>   FID   1    <br>   Id   4    <br>   Ward   Fourth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Nick Foster    <br>   Shape_STAr   301690029.959    <br>   Shape_STLe   197133.937509,9.569744523
MOID: 16840496,SALES,FOLIOTEK INC,3610 BUTTONWOOD DR ,COLUMBIA,MO,65201-3721,ANNUAL,MOID: 16840496,6,SALES LOCATION,FOLIOTEK INC,3610 BUTTONWOOD DR STE 200,COLUMBIA,MO,65201-3721,No,15670-019-000-0000,Yes,1/1/2022,,541511 - CUSTOM COMPUTER PROGRAMMING SERVICES,"20,222","30,500",38.9108262,-92.3295446,POINT (-92.3295446 38.9108262),4,Betsy Peters,Betsy Peters    <br>       <br>   FID   5    <br>   Id   6    <br>   Ward   Sixth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Betsy Peters    <br>   Shape_STAr   380453832.367    <br>   Shape_STLe   203999.244149,98.14042288
MOID: 16783034,SALES,RI-MOR TOPSOIL LLC,2801 OLD HIGHWAY 63 S,COLUMBIA,MO,65201-5325,QUARTERLY,MOID: 16783034,2,SALES LOCATION,RI-MOR TOPSOIL LLC,2801 OLD 63 S,COLUMBIA,MO,65201-5325,No,15670-019-000-0000,Yes,10/1/2005,,424910 - FARM SUPPLIES MERCHANT WHOLESALERS,"20,222","30,500",38.9184016,-92.3069796,POINT (-92.3069796 38.9184016),4,Betsy Peters,Betsy Peters    <br>       <br>   FID   5    <br>   Id   6    <br>   Ward   Sixth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Betsy Peters    <br>   Shape_STAr   380453832.367    <br>   Shape_STLe   203999.244149,97.06639698
MOID: 17418704,SALES,CANDICE ROSE DESIGNS,501 S GREENWOOD AVE,COLUMBIA,MO,65203-2779,QUARTERLY,MOID: 17418704,1,SALES LOCATION,CANDICE ROSE DESIGNS,501 S GREENWOOD AVE,COLUMBIA,MO,65203-2779,No,15670-019-000-0000,Yes,7/11/2000,,541820 - PUBLIC RELATIONS AGENCIES,"20,222","30,500",38.947063,-92.3510568,POINT (-92.3510568 38.947063),1,Nick Foster,Nick Foster    <br>       <br>   FID   1    <br>   Id   4    <br>   Ward   Fourth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Nick Foster    <br>   Shape_STAr   301690029.959    <br>   Shape_STLe   197133.937509,96.55225623
MOID: 22553576,SALES,MADE ON A LATHE,4969 E WILSON TURNER DR,COLUMBIA,MO,65202-9244,ANNUAL,MOID: 22553576,2,SALES LOCATION,MADE ON A LATHE,SPECIAL EVENT,COLUMBIA,MO,65201,No,15670-019-000-0000,Yes,4/1/2015,,453998 - ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),"20,222","30,500",38.9137055,-92.2922832,POINT (-92.2922832 38.9137055),4,Betsy Peters,Betsy Peters    <br>       <br>   FID   5    <br>   Id   6    <br>   Ward   Sixth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Betsy Peters    <br>   Shape_STAr   380453832.367    <br>   Shape_STLe   203999.244149,57.421435
MOID: 22553576,SALES,MADE ON A LATHE,4969 E WILSON TURNER DR,COLUMBIA,MO,65202-9244,ANNUAL,MOID: 22553576,3,SALES LOCATION,MADE ON A LATHE,126 N 10TH ST,COLUMBIA,MO,65201-4949,No,15670-019-000-0000,Yes,4/1/2015,,453998 - ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),"20,222","30,500",38.953282,-92.3261007,POINT (-92.3261007 38.953282),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,36.01317783
MOID: 22162895,SALES,PARTY TREATS & SWEETS LLC,2808 BUTTERFIELD CT,COLUMBIA,MO,65203-3033,ANNUAL,MOID: 22162895,1,SALES LOCATION,PARTY TREATS & SWEETS LLC,2808 BUTTERFIELD CT,COLUMBIA,MO,65203-3033,No,15670-019-000-0000,Yes,1/1/2013,,445292 - CONFECTIONERY AND NUT STORES,"20,222","30,500",38.9198886,-92.3450034,POINT (-92.3450034 38.9198886),3,Donald Waterman,Donald Waterman    <br>       <br>   FID   3    <br>   Id   5    <br>   Ward   Fifth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Donald Waterman    <br>   Shape_STAr   284995284.185    <br>   Shape_STLe   229752.843221,7.120241236
MOID: 22162895,SALES,PARTY TREATS & SWEETS LLC,2808 BUTTERFIELD CT,COLUMBIA,MO,65203-3033,ANNUAL,MOID: 22162895,1,SALES LOCATION,PARTY TREATS & SWEETS LLC,"2808 BUTTERFIELD CT
FOOD TAX",COLUMBIA,MO,65203-3033,No,15670-019-000-1001,Yes,1/1/2013,,445292 - CONFECTIONERY AND NUT STORES,"20,222","30,500",38.9198886,-92.3450034,POINT (-92.3450034 38.9198886),3,Donald Waterman,Donald Waterman    <br>       <br>   FID   3    <br>   Id   5    <br>   Ward   Fifth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Donald Waterman    <br>   Shape_STAr   284995284.185    <br>   Shape_STLe   229752.843221,34.50119803
MOID: 22914463,SALES,GOLDEN HORSE STIR FRY 88 INC,2300 BERNADETTE DR SPC 710,COLUMBIA,MO,65203-7520,MONTHLY,MOID: 22914463,1,SALES LOCATION,GOLDEN HORSE STIR FRY 88 INC,2300 BERNADETTE DR SPC 710,COLUMBIA,MO,65203-7520,No,15670-019-004-0000,Yes,4/1/2016,,722513 - LIMITED-SERVICE RESTAURANTS,"20,222","30,500",38.9640589,-92.3759232,POINT (-92.3759232 38.9640589),0,Lisa Meyer,Lisa Meyer    <br>       <br>   FID   0    <br>   Id   2    <br>   Ward   Second    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Lisa Meyer    <br>   Shape_STAr   335107738.167    <br>   Shape_STLe   182451.831244,38.60573884
MOID: 14183145,SALES,COLUMBIA AQUACULTURE INC,407 BUSINESS LOOP 70 E,COLUMBIA,MO,65201-3908,MONTHLY,MOID: 14183145,3,SALES LOCATION,COLUMBIA AQUACULTURE INC,407 BUSINESS LOOP 70 E,COLUMBIA,MO,65201-3908,No,15670-019-015-0000,Yes,4/1/2016,,453910 - PET AND PET SUPPLIES STORES,"20,222","30,500",38.9647685,-92.3314621,POINT (-92.3314621 38.9647685),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,82.08199632
MOID: 20051506,SALES,PASSIONS IN COLUMBIA INC,1108 BUS 70 LOOP E,COLUMBIA,MO,65201,MONTHLY,MOID: 20051506,2,SALES LOCATION,PASSIONS IN COLUMBIA INC,1108 BUS LOOP 70 E,COLUMBIA,MO,65201-4606,No,15670-019-015-0000,Yes,4/1/2016,,453998 - ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),"20,222","30,500",38.9637209,-92.3240741,POINT (-92.3240741 38.9637209),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,24.7588386
MOID: 19019386,SALES,HILTON GARDEN INN,2475 BROADWAY BLUFFS DR  301,COLUMBIA,MO,65201-8138,MONTHLY,MOID: 19019386,1,SALES LOCATION,HILTON GARDEN INN,3300 VANDIVER DR,COLUMBIA,MO,65202-2308,Yes,15670-019-003-0000,Yes,1/1/2010,,721110 - HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"20,222","30,500",38.9746665,-92.2892886,POINT (-92.2892886 38.9746665),5,Roy Lovelady,Roy Lovelady,82.65023526
MOID: 22247068,SALES,THE NOSTALGIA SHOP LLC,2600 S PROVIDENCE RD  200,COLUMBIA,MO,65203-3515,QUARTERLY,MOID: 22247068,1,SALES LOCATION,THE NOSTALGIA SHOP LLC,2600 S PROVIDENCE RD  200,COLUMBIA,MO,65203-3515,Yes,15670-019-000-0000,Yes,12/11/2013,,"445310 - BEER, WINE, AND LIQUOR STORES","20,222","30,500",38.9219656,-92.3352985,POINT (-92.3352985 38.9219656),1,Nick Foster,Nick Foster    <br>       <br>   FID   1    <br>   Id   4    <br>   Ward   Fourth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Nick Foster    <br>   Shape_STAr   301690029.959    <br>   Shape_STLe   197133.937509,9.614738603
MOID: 20903138,SALES,MARILYN L CUMMINS,"DBA CUMMINS CONSULTING 4707 GAGE PL
",COLUMBIA,MO,65203,ANNUAL,MOID: 20903138,2,SALES LOCATION,MARILYN L CUMMINS,106 ORR ST,COLUMBIA,MO,65201-4919,No,15670-019-007-0000,Yes,1/1/2015,,"711510 - INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS","20,222","30,500",38.9531697,-92.3248347,POINT (-92.3248347 38.9531697),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,19.97324022
MOID: 22595236,SALES,SERAPHIM SYSTEMS,"2208 MACE DR.
",COLUMBIA,MO,65201,ANNUAL,MOID: 22595236,1,SALES LOCATION,SERAPHIM SYSTEMS,3612 ZINNIA DR,COLUMBIA,MO,65202-3888,No,15670-019-000-0000,Yes,8/1/2015,,541511 - CUSTOM COMPUTER PROGRAMMING SERVICES,"20,222","30,500",38.9728149,-92.3891588,POINT (-92.3891588 38.9728149),0,Lisa Meyer,Lisa Meyer    <br>       <br>   FID   0    <br>   Id   2    <br>   Ward   Second    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Lisa Meyer    <br>   Shape_STAr   335107738.167    <br>   Shape_STLe   182451.831244,4.077107787
MOID: 22595236,SALES,SERAPHIM SYSTEMS,"2208 MACE DR.
",COLUMBIA,MO,65201,ANNUAL,MOID: 22595236,2,SALES LOCATION,SERAPHIM SYSTEMS,2208 MACE DR,COLUMBIA,MO,65201-7660,No,15670-019-000-0000,Yes,1/1/2018,,541511 - CUSTOM COMPUTER PROGRAMMING SERVICES,"20,222","30,500",38.9012344,-92.3066027,POINT (-92.3066027 38.9012344),4,Betsy Peters,Betsy Peters    <br>       <br>   FID   5    <br>   Id   6    <br>   Ward   Sixth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Betsy Peters    <br>   Shape_STAr   380453832.367    <br>   Shape_STLe   203999.244149,7.114472116
MOID: 14062062,SALES,JOYCE ANN DESIGNS,3424 WOODRAIL TER,COLUMBIA,MO,65203-0926,ANNUAL,MOID: 14062062,2,SALES LOCATION,JOYCE ANN DESIGNS,3424 WOODRAIL TER,COLUMBIA,MO,65203-0926,No,15670-019-000-0000,Yes,8/14/2017,,541410 - INTERIOR DESIGN SERVICES,"20,222","30,500",38.9142763,-92.3632322,POINT (-92.3632322 38.9142763),3,Donald Waterman,Donald Waterman    <br>       <br>   FID   3    <br>   Id   5    <br>   Ward   Fifth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Donald Waterman    <br>   Shape_STAr   284995284.185    <br>   Shape_STLe   229752.843221,8.744398203
MOID: 22633103,SALES,KATE VERNA PHOTOGRAPHY,"704 WESTRIDGE DR
",COLUMBIA,MO,65203-1702,ANNUAL,MOID: 22633103,1,SALES LOCATION,KATE VERNA PHOTOGRAPHY,19 N GLENWOOD AVE,COLUMBIA,MO,65203-2611,No,15670-019-000-0000,Yes,7/6/2015,,812990 - ALL OTHER PERSONAL SERVICES,"20,222","30,500",38.953069,-92.347457,POINT (-92.347457 38.953069),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,9.689608419
MOID: 17075891,SALES,GRAND CRU,3615 INTERSTATE 70 DR SW,COLUMBIA,MO,65203-0069,MONTHLY,MOID: 17075891,1,SALES LOCATION,GRAND CRU,2600 S PROVIDENCE RD,COLUMBIA,MO,65203-3515,Yes,15670-019-000-0000,Yes,8/1/1999,,722511 - FULL-SERVICE RESTAURANTS,"20,222","30,500",38.9219418,-92.3352876,POINT (-92.3352876 38.9219418),1,Nick Foster,Nick Foster    <br>       <br>   FID   1    <br>   Id   4    <br>   Ward   Fourth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Nick Foster    <br>   Shape_STAr   301690029.959    <br>   Shape_STLe   197133.937509,30.36206864
MOID: 22546766,SALES,SHEAR PERFECTION THE SALON LLC,2535 BERNADETTE DR,COLUMBIA,MO,65203-4674,ANNUAL,MOID: 22546766,1,SALES LOCATION,SHEAR PERFECTION THE SALON LLC,2535 BERNADETTE DR,COLUMBIA,MO,65203-4674,No,15670-019-000-0000,Yes,1/1/2015,,812112 - BEAUTY SALONS,"20,222","30,500",38.9672522,-92.3765994,POINT (-92.3765994 38.9672522),0,Lisa Meyer,Lisa Meyer    <br>       <br>   FID   0    <br>   Id   2    <br>   Ward   Second    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Lisa Meyer    <br>   Shape_STAr   335107738.167    <br>   Shape_STLe   182451.831244,35.23917381
MOID: 20403631,SALES,CJS IN TIGER COUNTRY,704 E BROADWAY,COLUMBIA,MO,65201-4444,MONTHLY,MOID: 20403631,1,SALES LOCATION,CJS IN TIGER COUNTRY,704 E BROADWAY,COLUMBIA,MO,65201-4444,Yes,15670-019-007-0000,Yes,4/1/2012,,722511 - FULL-SERVICE RESTAURANTS,"20,222","30,500",38.9512497,-92.3294232,POINT (-92.3294232 38.9512497),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,82.01907876
MOID: 13267931,SALES,MICHAEL J MAYER EDD PC,3407 BERRYWOOD DR STE 200,COLUMBIA,MO,65201-6500,ANNUAL,MOID: 13267931,1,SALES LOCATION,MICHAEL J MAYER EDD PC,3407 BERRYWOOD DR STE 200,COLUMBIA,MO,65201-6500,No,15670-019-000-0000,Yes,7/1/2007,,621330 - OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),"20,222","30,500",38.958745,-92.286394,POINT (-92.286394 38.958745),5,Roy Lovelady,Roy Lovelady,55.5213005
MOID: 23020792,SALES,SHAUNA MACHMANN PHOTOGRAPHY,3207 RED BAY CREEK RD,COLUMBIA,MO,65203-8472,ANNUAL,MOID: 23020792,1,SALES LOCATION,SHAUNA MACHMANN PHOTOGRAPHY,3207 RED BAY CREEK RD,COLUMBIA,MO,65203-8472,No,15670-019-000-0000,Yes,6/1/2016,,443142 - ELECTRONICS STORES,"20,222","30,500",38.8927445,-92.3861642,POINT (-92.3861642 38.8927445),3,Donald Waterman,Donald Waterman    <br>       <br>   FID   3    <br>   Id   5    <br>   Ward   Fifth    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Donald Waterman    <br>   Shape_STAr   284995284.185    <br>   Shape_STLe   229752.843221,54.52098864
MOID: 18770347,SALES,COMOCAPS,286 E HACKBERRY BLVD,COLUMBIA,MO,65202-7982,ANNUAL,MOID: 18770347,2,SALES LOCATION,COMO CAP,2012 W ASH ST APT J01,COLUMBIA,MO,65203-1169,No,15670-019-000-0000,Yes,10/1/2021,,448150 - CLOTHING ACCESSORIES STORES,"20,222","30,500",38.9563357,-92.3698621,POINT (-92.3698621 38.9563357),2,Valerie Carroll,Valerie Carroll    <br>       <br>   FID   2    <br>   Id   1    <br>   Ward   First    <br>   Ord_num   24957    <br>   Ord_date   3/21/2022    <br>   Rep_Name   Valerie Carroll    <br>   Shape_STAr   111581073.105    <br>   Shape_STLe   64447.575773,49.83996633
